GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC04_EST_VC45,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $25,000 to $34,999"
HC01_EST_VC46,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $35,000 to $49,999"
HC02_EST_VC46,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $35,000 to $49,999"
HC03_EST_VC46,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $35,000 to $49,999"
HC04_EST_VC46,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $35,000 to $49,999"
HC01_EST_VC47,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $50,000 to $64,999"
HC02_EST_VC47,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $50,000 to $64,999"
HC03_EST_VC47,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $50,000 to $64,999"
HC04_EST_VC47,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $50,000 to $64,999"
HC01_EST_VC48,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $65,000 to $74,999"
HC02_EST_VC48,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $65,000 to $74,999"
HC03_EST_VC48,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $65,000 to $74,999"
HC04_EST_VC48,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $65,000 to $74,999"
HC01_EST_VC49,"Total; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $75,000 or more"
HC02_EST_VC49,"Car, truck, or van -- drove alone; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $75,000 or more"
HC03_EST_VC49,"Car, truck, or van -- carpooled; Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $75,000 or more"
HC04_EST_VC49,"Public transportation (excluding taxicab); Estimate; EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS - Workers 16 years and over with earnings - $75,000 or more"
HC01_EST_VC51,Total; Estimate; Median earnings (dollars)
HC02_EST_VC51,"Car, truck, or van -- drove alone; Estimate; Median earnings (dollars)"
HC03_EST_VC51,"Car, truck, or van -- carpooled; Estimate; Median earnings (dollars)"
HC04_EST_VC51,Public transportation (excluding taxicab); Estimate; Median earnings (dollars)
HC01_EST_VC59,Total; Estimate; Workers 16 years and over
HC02_EST_VC59,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over"
HC03_EST_VC59,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over"
HC04_EST_VC59,Public transportation (excluding taxicab); Estimate; Workers 16 years and over
HC01_EST_VC61,"Total; Estimate; Workers 16 years and over - OCCUPATION - Management, business, science, and arts occupations"
HC02_EST_VC61,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Management, business, science, and arts occupations"
HC03_EST_VC61,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Management, business, science, and arts occupations"
HC04_EST_VC61,"Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Management, business, science, and arts occupations"
HC01_EST_VC62,Total; Estimate; Workers 16 years and over - OCCUPATION - Service occupations
HC02_EST_VC62,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Service occupations"
HC03_EST_VC62,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Service occupations"
HC04_EST_VC62,Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Service occupations
HC01_EST_VC63,Total; Estimate; Workers 16 years and over - OCCUPATION - Sales and office occupations
HC02_EST_VC63,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Sales and office occupations"
HC03_EST_VC63,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Sales and office occupations"
HC04_EST_VC63,Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Sales and office occupations
HC01_EST_VC64,"Total; Estimate; Workers 16 years and over - OCCUPATION - Natural resources, construction, and maintenance occupations"
HC02_EST_VC64,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Natural resources, construction, and maintenance occupations"
HC03_EST_VC64,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Natural resources, construction, and maintenance occupations"
HC04_EST_VC64,"Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Natural resources, construction, and maintenance occupations"
HC01_EST_VC65,"Total; Estimate; Workers 16 years and over - OCCUPATION - Production, transportation, and material moving occupations"
HC02_EST_VC65,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Production, transportation, and material moving occupations"
HC03_EST_VC65,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Production, transportation, and material moving occupations"
HC04_EST_VC65,"Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Production, transportation, and material moving occupations"
HC01_EST_VC66,Total; Estimate; Workers 16 years and over - OCCUPATION - Military specific occupations
HC02_EST_VC66,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over - OCCUPATION - Military specific occupations"
HC03_EST_VC66,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over - OCCUPATION - Military specific occupations"
HC04_EST_VC66,Public transportation (excluding taxicab); Estimate; Workers 16 years and over - OCCUPATION - Military specific occupations
HC01_EST_VC69,"Total; Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC02_EST_VC69,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC03_EST_VC69,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC04_EST_VC69,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Agriculture, forestry, fishing and hunting, and mining"
HC01_EST_VC70,Total; Estimate; INDUSTRY - Construction
HC02_EST_VC70,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Construction"
HC03_EST_VC70,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Construction"
HC04_EST_VC70,Public transportation (excluding taxicab); Estimate; INDUSTRY - Construction
HC01_EST_VC71,Total; Estimate; INDUSTRY - Manufacturing
HC02_EST_VC71,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Manufacturing"
HC03_EST_VC71,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Manufacturing"
HC04_EST_VC71,Public transportation (excluding taxicab); Estimate; INDUSTRY - Manufacturing
HC01_EST_VC72,Total; Estimate; INDUSTRY - Wholesale trade
HC02_EST_VC72,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Wholesale trade"
HC03_EST_VC72,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Wholesale trade"
HC04_EST_VC72,Public transportation (excluding taxicab); Estimate; INDUSTRY - Wholesale trade
HC01_EST_VC73,Total; Estimate; INDUSTRY - Retail trade
HC02_EST_VC73,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Retail trade"
HC03_EST_VC73,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Retail trade"
HC04_EST_VC73,Public transportation (excluding taxicab); Estimate; INDUSTRY - Retail trade
HC01_EST_VC74,"Total; Estimate; INDUSTRY - Transportation and warehousing, and utilities"
HC02_EST_VC74,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Transportation and warehousing, and utilities"
HC03_EST_VC74,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Transportation and warehousing, and utilities"
HC04_EST_VC74,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Transportation and warehousing, and utilities"
HC01_EST_VC75,"Total; Estimate; INDUSTRY - Information and finance and insurance, and real estate and rental and leasing"
HC02_EST_VC75,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Information and finance and insurance, and real estate and rental and leasing"
HC03_EST_VC75,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Information and finance and insurance, and real estate and rental and leasing"
HC04_EST_VC75,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Information and finance and insurance, and real estate and rental and leasing"
HC01_EST_VC76,"Total; Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC02_EST_VC76,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC03_EST_VC76,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC04_EST_VC76,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Professional, scientific, and management, and administrative and waste management services"
HC01_EST_VC77,"Total; Estimate; INDUSTRY - Educational services, and health care and social assistance"
HC02_EST_VC77,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Educational services, and health care and social assistance"
HC03_EST_VC77,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Educational services, and health care and social assistance"
HC04_EST_VC77,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Educational services, and health care and social assistance"
HC01_EST_VC78,"Total; Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC02_EST_VC78,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC03_EST_VC78,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC04_EST_VC78,"Public transportation (excluding taxicab); Estimate; INDUSTRY - Arts, entertainment, and recreation, and accommodation and food services"
HC01_EST_VC79,Total; Estimate; INDUSTRY - Other services (except public administration)
HC02_EST_VC79,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Other services (except public administration)"
HC03_EST_VC79,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Other services (except public administration)"
HC04_EST_VC79,Public transportation (excluding taxicab); Estimate; INDUSTRY - Other services (except public administration)
HC01_EST_VC80,Total; Estimate; INDUSTRY - Public administration
HC02_EST_VC80,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Public administration"
HC03_EST_VC80,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Public administration"
HC04_EST_VC80,Public transportation (excluding taxicab); Estimate; INDUSTRY - Public administration
HC01_EST_VC81,Total; Estimate; INDUSTRY - Armed forces
HC02_EST_VC81,"Car, truck, or van -- drove alone; Estimate; INDUSTRY - Armed forces"
HC03_EST_VC81,"Car, truck, or van -- carpooled; Estimate; INDUSTRY - Armed forces"
HC04_EST_VC81,Public transportation (excluding taxicab); Estimate; INDUSTRY - Armed forces
HC01_EST_VC84,Total; Estimate; CLASS OF WORKER - Private wage and salary workers
HC02_EST_VC84,"Car, truck, or van -- drove alone; Estimate; CLASS OF WORKER - Private wage and salary workers"
HC03_EST_VC84,"Car, truck, or van -- carpooled; Estimate; CLASS OF WORKER - Private wage and salary workers"
HC04_EST_VC84,Public transportation (excluding taxicab); Estimate; CLASS OF WORKER - Private wage and salary workers
HC01_EST_VC85,Total; Estimate; CLASS OF WORKER - Government workers
HC02_EST_VC85,"Car, truck, or van -- drove alone; Estimate; CLASS OF WORKER - Government workers"
HC03_EST_VC85,"Car, truck, or van -- carpooled; Estimate; CLASS OF WORKER - Government workers"
HC04_EST_VC85,Public transportation (excluding taxicab); Estimate; CLASS OF WORKER - Government workers
HC01_EST_VC86,Total; Estimate; CLASS OF WORKER - Self-employed workers in own not incorporated business
HC02_EST_VC86,"Car, truck, or van -- drove alone; Estimate; CLASS OF WORKER - Self-employed workers in own not incorporated business"
HC03_EST_VC86,"Car, truck, or van -- carpooled; Estimate; CLASS OF WORKER - Self-employed workers in own not incorporated business"
HC04_EST_VC86,Public transportation (excluding taxicab); Estimate; CLASS OF WORKER - Self-employed workers in own not incorporated business
HC01_EST_VC87,Total; Estimate; CLASS OF WORKER - Unpaid family workers
HC02_EST_VC87,"Car, truck, or van -- drove alone; Estimate; CLASS OF WORKER - Unpaid family workers"
HC03_EST_VC87,"Car, truck, or van -- carpooled; Estimate; CLASS OF WORKER - Unpaid family workers"
HC04_EST_VC87,Public transportation (excluding taxicab); Estimate; CLASS OF WORKER - Unpaid family workers
HC01_EST_VC89,Total; Estimate; Workers 16 years and over who did not work at home
HC02_EST_VC89,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home"
HC03_EST_VC89,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home"
HC04_EST_VC89,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
HC01_EST_VC91,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 12:00 a.m. to 4:59 a.m.
HC02_EST_VC91,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 12:00 a.m. to 4:59 a.m."
HC03_EST_VC91,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 12:00 a.m. to 4:59 a.m."
HC04_EST_VC91,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 12:00 a.m. to 4:59 a.m.
HC01_EST_VC92,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:00 a.m. to 5:29 a.m.
HC02_EST_VC92,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:00 a.m. to 5:29 a.m."
HC03_EST_VC92,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:00 a.m. to 5:29 a.m."
HC04_EST_VC92,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:00 a.m. to 5:29 a.m.
HC01_EST_VC93,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:30 a.m. to 5:59 a.m.
HC02_EST_VC93,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:30 a.m. to 5:59 a.m."
HC03_EST_VC93,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:30 a.m. to 5:59 a.m."
HC04_EST_VC93,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 5:30 a.m. to 5:59 a.m.
HC01_EST_VC94,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:00 a.m. to 6:29 a.m.
HC02_EST_VC94,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:00 a.m. to 6:29 a.m."
HC03_EST_VC94,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:00 a.m. to 6:29 a.m."
HC04_EST_VC94,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:00 a.m. to 6:29 a.m.
HC01_EST_VC95,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:30 a.m. to 6:59 a.m.
HC02_EST_VC95,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:30 a.m. to 6:59 a.m."
HC03_EST_VC95,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:30 a.m. to 6:59 a.m."
HC04_EST_VC95,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 6:30 a.m. to 6:59 a.m.
HC01_EST_VC96,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:00 a.m. to 7:29 a.m.
HC02_EST_VC96,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:00 a.m. to 7:29 a.m."
HC03_EST_VC96,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:00 a.m. to 7:29 a.m."
HC04_EST_VC96,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:00 a.m. to 7:29 a.m.
HC01_EST_VC97,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:30 a.m. to 7:59 a.m.
HC02_EST_VC97,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:30 a.m. to 7:59 a.m."
HC03_EST_VC97,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:30 a.m. to 7:59 a.m."
HC04_EST_VC97,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 7:30 a.m. to 7:59 a.m.
HC01_EST_VC98,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:00 a.m. to 8:29 a.m.
HC02_EST_VC98,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:00 a.m. to 8:29 a.m."
HC03_EST_VC98,"Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:00 a.m. to 8:29 a.m."
HC04_EST_VC98,Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:00 a.m. to 8:29 a.m.
HC01_EST_VC99,Total; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:30 a.m. to 8:59 a.m.
HC02_EST_VC99,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home - TIME ARRIVING AT WORK FROM HOME - 8:30 a.m. to 8:59 a.m."
